# Selection : patch(Inlet)
# Faces  :    118
# Area   :    3.020701e-04
# Time        	sum(phi)
12321         	-1.510351e-03
12322         	-1.510351e-03
12323         	-1.510351e-03
12324         	-1.510351e-03
12325         	-1.510351e-03
12326         	-1.510351e-03
12327         	-1.510351e-03
12328         	-1.510351e-03
12329         	-1.510351e-03
12330         	-1.510351e-03
12331         	-1.510351e-03
12332         	-1.510351e-03
12333         	-1.510351e-03
12334         	-1.510351e-03
12335         	-1.510351e-03
12336         	-1.510351e-03
12337         	-1.510351e-03
12338         	-1.510351e-03
12339         	-1.510351e-03
12340         	-1.510351e-03
12341         	-1.510351e-03
12342         	-1.510351e-03
12343         	-1.510351e-03
12344         	-1.510351e-03
12345         	-1.510351e-03
12346         	-1.510351e-03
12347         	-1.510351e-03
12348         	-1.510351e-03
12349         	-1.510351e-03
12350         	-1.510351e-03
12351         	-1.510351e-03
12352         	-1.510351e-03
12353         	-1.510351e-03
12354         	-1.510351e-03
12355         	-1.510351e-03
12356         	-1.510351e-03
12357         	-1.510351e-03
12358         	-1.510351e-03
12359         	-1.510351e-03
12360         	-1.510351e-03
12361         	-1.510351e-03
12362         	-1.510351e-03
12363         	-1.510351e-03
12364         	-1.510351e-03
12365         	-1.510351e-03
12366         	-1.510351e-03
12367         	-1.510351e-03
12368         	-1.510351e-03
12369         	-1.510351e-03
12370         	-1.510351e-03
12371         	-1.510351e-03
12372         	-1.510351e-03
12373         	-1.510351e-03
12374         	-1.510351e-03
12375         	-1.510351e-03
12376         	-1.510351e-03
12377         	-1.510351e-03
12378         	-1.510351e-03
12379         	-1.510351e-03
12380         	-1.510351e-03
12381         	-1.510351e-03
12382         	-1.510351e-03
12383         	-1.510351e-03
12384         	-1.510351e-03
12385         	-1.510351e-03
12386         	-1.510351e-03
12387         	-1.510351e-03
12388         	-1.510351e-03
12389         	-1.510351e-03
12390         	-1.510351e-03
12391         	-1.510351e-03
12392         	-1.510351e-03
12393         	-1.510351e-03
12394         	-1.510351e-03
12395         	-1.510351e-03
12396         	-1.510351e-03
12397         	-1.510351e-03
12398         	-1.510351e-03
12399         	-1.510351e-03
12400         	-1.510351e-03
12401         	-1.510351e-03
12402         	-1.510351e-03
12403         	-1.510351e-03
12404         	-1.510351e-03
12405         	-1.510351e-03
12406         	-1.510351e-03
12407         	-1.510351e-03
12408         	-1.510351e-03
12409         	-1.510351e-03
12410         	-1.510351e-03
12411         	-1.510351e-03
12412         	-1.510351e-03
12413         	-1.510351e-03
12414         	-1.510351e-03
12415         	-1.510351e-03
12416         	-1.510351e-03
12417         	-1.510351e-03
12418         	-1.510351e-03
12419         	-1.510351e-03
12420         	-1.510351e-03
12421         	-1.510351e-03
12422         	-1.510351e-03
12423         	-1.510351e-03
12424         	-1.510351e-03
12425         	-1.510351e-03
12426         	-1.510351e-03
12427         	-1.510351e-03
12428         	-1.510351e-03
12429         	-1.510351e-03
12430         	-1.510351e-03
12431         	-1.510351e-03
12432         	-1.510351e-03
12433         	-1.510351e-03
12434         	-1.510351e-03
12435         	-1.510351e-03
12436         	-1.510351e-03
12437         	-1.510351e-03
12438         	-1.510351e-03
12439         	-1.510351e-03
12440         	-1.510351e-03
12441         	-1.510351e-03
12442         	-1.510351e-03
12443         	-1.510351e-03
12444         	-1.510351e-03
12445         	-1.510351e-03
12446         	-1.510351e-03
12447         	-1.510351e-03
12448         	-1.510351e-03
12449         	-1.510351e-03
12450         	-1.510351e-03
12451         	-1.510351e-03
12452         	-1.510351e-03
12453         	-1.510351e-03
12454         	-1.510351e-03
12455         	-1.510351e-03
12456         	-1.510351e-03
12457         	-1.510351e-03
12458         	-1.510351e-03
12459         	-1.510351e-03
12460         	-1.510351e-03
12461         	-1.510351e-03
12462         	-1.510351e-03
12463         	-1.510351e-03
12464         	-1.510351e-03
12465         	-1.510351e-03
12466         	-1.510351e-03
12467         	-1.510351e-03
12468         	-1.510351e-03
12469         	-1.510351e-03
12470         	-1.510351e-03
12471         	-1.510351e-03
12472         	-1.510351e-03
12473         	-1.510351e-03
12474         	-1.510351e-03
12475         	-1.510351e-03
12476         	-1.510351e-03
12477         	-1.510351e-03
12478         	-1.510351e-03
12479         	-1.510351e-03
12480         	-1.510351e-03
12481         	-1.510351e-03
12482         	-1.510351e-03
12483         	-1.510351e-03
12484         	-1.510351e-03
12485         	-1.510351e-03
12486         	-1.510351e-03
12487         	-1.510351e-03
12488         	-1.510351e-03
12489         	-1.510351e-03
12490         	-1.510351e-03
